f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,held_out,H
0.9857427840820759,0.975254730713246,0.9962308374509059,0.9996781990205258,0.9979965779168818,0.971519964210956,0.9827722772095755,0.004746192660403119,XGBoost-instant,Monaco,1
0.9769967608719208,0.9600748596381784,0.9939186621056633,0.9740798115393118,0.9280320837036607,0.9540274437503963,0.9740798115393118,0.01055496000659685,Persistence,Monaco,1
0.9898960190091374,0.9913463596611931,0.9884456783570816,0.9996084685300423,0.9996923779562051,0.9798802736021381,0.9890019236010577,0.007656483622187925,XGBoost-instant,Monza,1
0.9799010904592936,0.9826546930741789,0.9771474878444084,0.9799010904592936,0.9754710752493401,0.9598021809185873,0.9799010904592936,0.019721658857262746,Persistence,Monza,1
0.9913853361936029,0.9894990155327061,0.9932716568544996,0.9997547485522233,0.999618604530168,0.9827823071097469,0.9919128266023683,0.006062678345089332,XGBoost-instant,Silverstone,1
0.9829353277350128,0.9791666666666666,0.986703988803359,0.9830313258532255,0.9666702550150722,0.9658710515800701,0.9830313258532255,0.016232379325074753,Persistence,Silverstone,1
0.9872658114218076,0.9834096248395456,0.9911219980040696,0.9990727062542362,0.9981676399558647,0.974562545641045,0.9884512696105623,0.00949127639942246,XGBoost-instant,Suzuka,1
0.9847015291348036,0.9800150921350502,0.9893879661345569,0.9847292062215809,0.9673188103784404,0.9694030753402836,0.9847292062215809,0.013862857335832363,Persistence,Suzuka,1
0.9538655807777314,0.9197360017032148,0.9879951598522482,0.9967774155005463,0.9773151773194808,0.9083325588655161,0.9422332931692501,0.01586874181126883,XGBoost-instant,Monaco,5
0.8864740753918572,0.8023131291497109,0.9706350216340036,0.8746985943521896,0.6750266068899329,0.7737124778626835,0.8746985943521897,0.0511343176089305,Persistence,Monaco,5
0.956744119495663,0.9635467380720545,0.9499415009192713,0.9909549065754951,0.9920302469830354,0.9148834889766224,0.9535695108876998,0.03458589838275992,XGBoost-instant,Monza,5
0.9000402057533338,0.9131274131274131,0.8869529983792545,0.9000402057533338,0.882924850293331,0.8000804115066675,0.9000402057533338,0.09824635537713923,Persistence,Monza,5
0.9589649428574356,0.9490102660087346,0.9689196197061366,0.9941436910440679,0.9897726843871748,0.9185583324855384,0.9552575394964224,0.030772616584618332,XGBoost-instant,Silverstone,5
0.9166498126644547,0.8980877638996352,0.9352118614292741,0.9172119356056216,0.8447629294057835,0.8333158678686862,0.9172119356056218,0.07921642752813815,Persistence,Silverstone,5
0.9607256317599149,0.9487499083510521,0.9727013551687778,0.9911103907267955,0.9808525393113612,0.9216566171551894,0.9637485453396453,0.029411635144924172,XGBoost-instant,Suzuka,5
0.9240823062792685,0.9002599331600446,0.9479046793984923,0.9242381116126563,0.8444263296755514,0.848165238059846,0.9242381116126562,0.06844242105084343,Persistence,Suzuka,5
0.8598066460487974,0.7535528596187175,0.9660604324788773,0.9686744189606782,0.7918134889752882,0.7264491729044031,0.8285116557711547,0.049212355213634304,XGBoost-instant,Monaco,10
0.7726343646511551,0.6024042742653607,0.9428644550369494,0.7567523119012509,0.4243278981154611,0.5476526361324159,0.7567523119012508,0.09991328913876535,Persistence,Monaco,10
0.8861084471224268,0.9068005531838134,0.8654163410610402,0.9266090267160546,0.9228786170033858,0.7786954751384152,0.8808545844296878,0.09386201797350223,XGBoost-instant,Monza,10
0.8094566216805885,0.8329326923076923,0.7859805510534846,0.8094566216805884,0.7876023637333294,0.6189132433611769,0.8094566216805885,0.18765098763677704,Persistence,Monza,10
0.9282314669932988,0.9108956075299487,0.945567326456649,0.9709940650834344,0.9272250559208005,0.8566383003377768,0.9263081219490947,0.05615551611904596,XGBoost-instant,Silverstone,10
0.8376852703185343,0.8012938486420166,0.8740766919950521,0.8390533549174961,0.715132400906995,0.6754935400591423,0.8390533549174961,0.15415566996928134,Persistence,Silverstone,10
0.8909275202567457,0.8558451717090156,0.9260098688044759,0.9649073073390708,0.9269162845749828,0.7818663839663522,0.891572288225295,0.07872062229659718,XGBoost-instant,Suzuka,10
0.8515884241887568,0.8036802062533175,0.8994966421241961,0.8518717542266608,0.711820566493993,0.7031794280038204,0.851871754226661,0.13294649275957687,Persistence,Suzuka,10
0.46215009764716825,0.0,0.9243001952943365,0.7363045588556789,0.18895590682646934,-0.054480138198924076,0.4878276234416413,0.12468462838901517,XGBoost-instant,Monaco,25
0.5276302715561889,0.16617574864997545,0.8890847944624024,0.5272657227716104,0.12741702366862048,0.055302840091683354,0.5272657227716104,0.19578686493184635,Persistence,Monaco,25
0.648080684873436,0.7212569874603414,0.5749043822865306,0.7211973154071049,0.7672342846564376,0.3083089486335222,0.6479724350434484,0.28621293343240367,XGBoost-instant,Monza,25
0.5909861833437282,0.6347269849643894,0.5472453817230669,0.5911746273756637,0.6089349694349039,0.1820442136006907,0.5911746273756637,0.404336082925761,Persistence,Monza,25
0.7309180952656585,0.6392651200214563,0.8225710705098608,0.8788977372756769,0.7771595522232598,0.475581220029639,0.7222014574419101,0.16953405593224222,XGBoost-instant,Silverstone,25
0.6280116883686381,0.5438546368778927,0.7121687398593834,0.6301997015353202,0.45898086323523735,0.25703102629817803,0.6301997015353202,0.3529489786895393,Persistence,Silverstone,25
0.6678436160244259,0.6040329575021682,0.7316542745466835,0.7445925083156207,0.5308061961302312,0.3617963415306003,0.6910762497486578,0.23678624231385492,XGBoost-instant,Suzuka,25
0.6816855079455827,0.5795284527678893,0.783842563123276,0.6824509874308812,0.475803468148578,0.3634229742787924,0.6824509874308813,0.2855291046998441,Persistence,Suzuka,25
0.4604565103484412,0.0,0.9209130206968824,0.3959921524600611,0.07522639590560642,-0.07365456038172787,0.4741518850745262,0.12677589854621085,XGBoost-instant,Monaco,50
0.4376674573783641,0.0,0.8753349147567282,0.43242058406960276,0.10005766137598252,-0.12408232316679786,0.43242058406960276,0.22169281660647627,Persistence,Monaco,50
0.432735219902859,0.5431379453852803,0.3223324944204378,0.3476741798582681,0.4760304438269643,-0.13384589569734975,0.433824185727015,0.4863693483182958,XGBoost-instant,Monza,50
0.4398035794352536,0.5065609622744669,0.37304619659604027,0.4401297787439091,0.5570562477661043,-0.11836344726323261,0.4401297787439091,0.5522410891846413,Persistence,Monza,50
0.5121143533682887,0.45583277140930545,0.568395935327272,0.5618868625267899,0.4305326426175942,0.04059037667480986,0.5209045342975942,0.29675176822892674,XGBoost-instant,Silverstone,50
0.4169679255901577,0.29788951678007153,0.5360463344002439,0.4162474521535686,0.3504680739008121,-0.16497835764380053,0.4162474521535686,0.5587115128711054,Persistence,Silverstone,50
0.3958248000086922,0.1706714704942325,0.6209781295231519,0.48991012644153603,0.3150485410791267,-0.20378744415795644,0.40442191090805396,0.48358742218047523,XGBoost-instant,Suzuka,50
0.47291050079068475,0.3180175529168818,0.6278034486644878,0.47283083615011545,0.3392112153594367,-0.05414878433105116,0.4728308361501154,0.4815719441507783,Persistence,Suzuka,50
