auc_roc,auc_pr,f1_macro,f1_xmode,mcc,accuracy,model,held_out
0.7740918676213066,0.3962281353305221,0.7726343646511551,0.6024042742653607,0.5476526361324159,0.9000867108612346,Physics-CV,Monaco
0.7847448316808433,0.5134239450720317,0.8105744899757352,0.668602054488611,0.6239877364742161,0.9169813431792118,Physics-CA,Monaco
0.8327020221179272,0.8366889009643459,0.8094566216805885,0.8329326923076923,0.6189132433611769,0.812349012363223,Physics-CV,Monza
0.8742181450911752,0.8993950149989456,0.8563220783136002,0.8716862443032287,0.7131073674281022,0.8579650419212733,Physics-CA,Monza
0.8587566641783173,0.7729256332299372,0.8376852703185343,0.8012938486420166,0.6754935400591423,0.8458443300307187,Physics-CV,Silverstone
0.8828879260854979,0.8463431855209604,0.8752265125345899,0.842873831775701,0.7518974524709875,0.8836152814433436,Physics-CA,Silverstone
0.8892068051203414,0.8319757303926255,0.8515884241887568,0.8036802062533175,0.7031794280038204,0.8670535072404232,Physics-CV,Suzuka
0.9048877435815555,0.8725464099004203,0.88611442446806,0.8490843605742403,0.7722321690097242,0.8981548046968608,Physics-CA,Suzuka
