model,split,n_groups,auc_roc,f1_macro,f1_xmode,f1_zmode,auc_pr,accuracy,n_test,n_xmode
LR,random-frame,N/A,0.9986181415182036,0.9922859306652045,0.9914197257850509,0.9931521355453583,0.9943629635436639,0.9923831959167648,12735,5604
RF,random-frame,N/A,1.0,1.0,1.0,1.0,1.0,1.0,12735,5604
LR,lap-grouped,36+10 laps,0.9984472043260625,0.9927355038350438,0.9919838119698031,0.9934871957002845,0.9940635682610072,0.9928132849567401,14332,6373
RF,lap-grouped,36+10 laps,1.0,0.999929362129631,0.9999215501686671,0.999937174090595,1.0,0.9999302260675411,14332,6373
