f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,held_out,H,stopped_epoch
0.9871872612649376,0.977763923524522,0.9966105990053532,0.9996465426019592,0.997823049814899,0.9744033097294272,0.9844632739329922,0.0051919570270214,LR-instant,Monaco,1,
0.984994826351738,0.9739474781158816,0.9960421745875946,0.99974219591385,0.9983703492032164,0.970049228268439,0.981096801033806,0.0068370728482627,RF-instant,Monaco,1,
0.976926966918942,0.9598389318639398,0.994015001973944,0.9995195110761724,0.9968123992221232,0.9543044598035852,0.9664708679647964,0.0190781615573479,RF-lag,Monaco,1,
0.9818834285081982,0.9846517835476826,0.9791150734687138,0.9990430991908634,0.9992507806345282,0.9642810778397513,0.9797612116852384,0.0134701620558572,LR-instant,Monza,1,
0.9908676936439812,0.992152053954629,0.9895833333333334,0.9994347976400796,0.9995771029953467,0.9817626595017278,0.9903693341943812,0.0075045235435995,RF-instant,Monza,1,
0.9844578995566248,0.986726878833186,0.982188920280064,0.998692004115964,0.999009958067886,0.9690817678595224,0.9832434370173178,0.0171626690078982,RF-lag,Monza,1,
0.9899839422242788,0.9877680873237892,0.9921997971247682,0.9995982775759662,0.9993742142778844,0.9799678884408922,0.9899936818358248,0.0075759386654908,LR-instant,Silverstone,1,
0.9908231812631884,0.9887628070948552,0.9928835554315216,0.9997549634427146,0.999622779375402,0.9816695140771392,0.99008180612388,0.0069333234298449,RF-instant,Silverstone,1,
0.9763901387176648,0.9707352693366288,0.9820450080987008,0.9994475318963684,0.9991256462151972,0.9535107414030914,0.9723549714627346,0.0389204255079633,RF-lag,Silverstone,1,
0.9860744955448644,0.9818831827624523,0.9902658083272764,0.9986450201106332,0.9964555992996216,0.9722193976573258,0.9878623953230794,0.0099042854300877,LR-instant,Suzuka,1,
0.9876552582936992,0.9838878223043088,0.99142269428309,0.9987345561435008,0.9978687720264632,0.9753141617183262,0.9880618251546014,0.0097587551727628,RF-instant,Suzuka,1,
0.9821028346262004,0.9765529394488228,0.987652729803578,0.997963771571985,0.9953324507345216,0.9642381917800944,0.9809028562457032,0.0148195208836413,RF-lag,Suzuka,1,
0.9628229783648536,0.9359141510380102,0.989731805691697,0.9964993341078716,0.9677057459695084,0.9261577110490292,0.9742524066021268,0.0163112306624592,LR-instant,Monaco,5,
0.9469501523588836,0.907387230333406,0.9865130743843616,0.9962943924012714,0.9753727778991432,0.89576327312716,0.9270906834622968,0.0194674299992895,RF-instant,Monaco,5,
0.820838088830837,0.6788574479444741,0.9628187297171998,0.9742281444893586,0.8592865228343649,0.681951537704621,0.7608100541878289,0.057206557801284,RF-lag,Monaco,5,
0.9293202919236776,0.9431784725902372,0.9154621112571178,0.987309238411084,0.9895093615522654,0.8671890690683903,0.9221742879791712,0.0551554720140168,LR-instant,Monza,5,
0.9544379110212426,0.9611250997973346,0.9477507222451508,0.9933606181037822,0.9946856111875176,0.909376103532596,0.9525310599159084,0.0311843139020598,RF-instant,Monza,5,
0.9474233355476944,0.9561435302645886,0.9387031408308004,0.9843841298146732,0.9875524116146116,0.8972911007747649,0.943324684243281,0.0500559316298299,RF-lag,Monza,5,
0.9685052635795376,0.961322277255273,0.9756882499038024,0.994793666137339,0.9912478482457558,0.937024350421278,0.9679411418469008,0.0247171181147881,LR-instant,Silverstone,5,
0.9513654328865034,0.9389216025863064,0.9638092631867003,0.9944232500985256,0.9910739078168844,0.9047305705889016,0.9449067263847436,0.0310881032265143,RF-instant,Silverstone,5,
