f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,condition,held_out,H,n_feat
0.9111840427465075,0.848865554097131,0.973502531395884,0.9799889283812313,0.7653777988343994,0.827751858234054,0.9475482563097827,0.03947312326776755,LR-instant,FULL,Monaco,10,12
0.8106499275446982,0.6623678101624968,0.9589320449268997,0.9549615878636993,0.7319556287047183,0.6487775814805652,0.7601209706480754,0.05950978916860177,RF-instant,FULL,Monaco,10,12
0.907992459068192,0.844278697471348,0.971706220665036,0.9811946823388206,0.7792959167481032,0.8249817310449705,0.9558916228595349,0.04072105655209018,LR-instant,NO-POS,Monaco,10,9
0.8849160875432625,0.8033777948373476,0.9664543802491773,0.9778673134625041,0.7994980349504053,0.7728813391013208,0.9106884463595795,0.04165983790899473,RF-instant,NO-POS,Monaco,10,9
0.8732329235814438,0.9032628676470589,0.8432029795158287,0.9316599436348008,0.9225387840470264,0.772004706908694,0.8642799083327319,0.09983448473723983,LR-instant,FULL,Monza,10,12
0.8939889635481717,0.9085114360704912,0.8794664910258522,0.9606236932944116,0.9637785800997604,0.7883300601813698,0.8926505628317771,0.07546538326652828,RF-instant,FULL,Monza,10,12
0.9079649711358209,0.9263700150990319,0.8895599271726098,0.9516875930944428,0.9439816059077493,0.8275765592143305,0.9006790665457123,0.07394238345871237,LR-instant,NO-POS,Monza,10,9
0.9075225728547827,0.9250074693755602,0.8900376763340051,0.9620297602838599,0.9595864142360091,0.8235255436168282,0.9012138367049652,0.07182041733713518,RF-instant,NO-POS,Monza,10,9
0.9348746213415141,0.921631456036496,0.9481177866465322,0.9701577436808961,0.9139878635303123,0.871460730485915,0.9411351633077591,0.052261296855131416,LR-instant,FULL,Silverstone,10,12
0.9331652265972846,0.9167001550031575,0.9496302981914118,0.9734885644446937,0.9436327510192191,0.866741867369899,0.9302050465383378,0.0523845850795647,RF-instant,FULL,Silverstone,10,12
0.9384982844401686,0.9252974878801234,0.9516990810002137,0.9727588752775015,0.9262617507783417,0.8776439152599447,0.942340237374817,0.050858947921862546,LR-instant,NO-POS,Silverstone,10,9
0.9290254242695601,0.9114637231229159,0.9465871254162043,0.9788709080493104,0.9578448488953685,0.8585266974138993,0.9258688932287913,0.052742813094849204,RF-instant,NO-POS,Silverstone,10,9
0.9054284900228023,0.8789212072204914,0.9319357728251133,0.9684821826256289,0.9224222226242241,0.8148941865156232,0.9184326932669105,0.06610850755892195,LR-instant,FULL,Suzuka,10,12
0.8041890468794343,0.7224654073268898,0.8859126864319787,0.948298790945493,0.8409698327434002,0.6284347617419626,0.7855266414854654,0.10430171989546703,RF-instant,FULL,Suzuka,10,12
0.9039412512850219,0.8779789829236254,0.9299035196464184,0.9707343306716393,0.9299989334247166,0.813913334774281,0.9199337340280201,0.06881443679235172,LR-instant,NO-POS,Suzuka,10,9
0.895101208334762,0.8628749320551465,0.9273274846143774,0.9576308600587149,0.9017969614189332,0.7908051159909478,0.899911278524381,0.07231873575523212,RF-instant,NO-POS,Suzuka,10,9
