f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,held_out,H
0.9871872612649377,0.977763923524522,0.9966105990053533,0.9996465426019592,0.997823049814899,0.9744033097294271,0.9844632739329922,0.005191957027021429,LR-instant,Monaco,1
0.9849948263517381,0.9739474781158817,0.9960421745875946,0.99974219591385,0.9983703492032163,0.970049228268439,0.9810968010338059,0.006837072848262746,RF-instant,Monaco,1
0.9769269669189419,0.9598389318639398,0.994015001973944,0.9995195110761723,0.9968123992221233,0.9543044598035851,0.9664708679647963,0.019078161557347914,RF-lag,Monaco,1
0.9818834285081982,0.9846517835476826,0.9791150734687138,0.9990430991908634,0.9992507806345282,0.9642810778397511,0.9797612116852383,0.0134701620558572,LR-instant,Monza,1
0.9908676936439812,0.992152053954629,0.9895833333333334,0.9994347976400797,0.9995771029953469,0.9817626595017278,0.9903693341943813,0.0075045235435995845,RF-instant,Monza,1
0.9844578995566249,0.9867268788331859,0.9821889202800639,0.9986920041159639,0.999009958067886,0.9690817678595223,0.9832434370173178,0.017162669007898236,RF-lag,Monza,1
0.9899839422242787,0.9877680873237892,0.9921997971247682,0.9995982775759662,0.9993742142778843,0.9799678884408922,0.9899936818358248,0.0075759386654908195,LR-instant,Silverstone,1
0.9908231812631884,0.9887628070948551,0.9928835554315216,0.9997549634427146,0.9996227793754021,0.9816695140771393,0.9900818061238801,0.0069333234298449495,RF-instant,Silverstone,1
0.9763901387176648,0.9707352693366287,0.9820450080987008,0.9994475318963683,0.9991256462151973,0.9535107414030914,0.9723549714627346,0.03892042550796338,RF-lag,Silverstone,1
0.9860744955448644,0.9818831827624523,0.9902658083272765,0.9986450201106332,0.9964555992996217,0.9722193976573258,0.9878623953230794,0.009904285430087728,LR-instant,Suzuka,1
0.9876552582936993,0.9838878223043087,0.9914226942830899,0.9987345561435009,0.9978687720264631,0.9753141617183262,0.9880618251546014,0.009758755172762852,RF-instant,Suzuka,1
0.9821028346262003,0.9765529394488227,0.9876527298035779,0.997963771571985,0.9953324507345216,0.9642381917800944,0.9809028562457033,0.014819520883641307,RF-lag,Suzuka,1
0.9628229783648536,0.9359141510380102,0.989731805691697,0.9964993341078717,0.9677057459695085,0.9261577110490292,0.9742524066021268,0.016311230662459236,LR-instant,Monaco,5
0.9469501523588837,0.907387230333406,0.9865130743843615,0.9962943924012714,0.9753727778991433,0.89576327312716,0.9270906834622967,0.019467429999289562,RF-instant,Monaco,5
0.820838088830837,0.6788574479444741,0.9628187297171998,0.9742281444893586,0.8592865228343649,0.681951537704621,0.7608100541878289,0.057206557801284065,RF-lag,Monaco,5
0.9293202919236776,0.9431784725902373,0.9154621112571178,0.987309238411084,0.9895093615522654,0.8671890690683903,0.9221742879791712,0.055155472014016826,LR-instant,Monza,5
0.9544379110212426,0.9611250997973346,0.9477507222451507,0.9933606181037822,0.9946856111875177,0.909376103532596,0.9525310599159085,0.031184313902059856,RF-instant,Monza,5
0.9474233355476945,0.9561435302645886,0.9387031408308004,0.9843841298146732,0.9875524116146116,0.8972911007747649,0.943324684243281,0.05005593162982997,RF-lag,Monza,5
0.9685052635795377,0.961322277255273,0.9756882499038024,0.994793666137339,0.9912478482457558,0.937024350421278,0.9679411418469008,0.02471711811478813,LR-instant,Silverstone,5
0.9513654328865034,0.9389216025863064,0.9638092631867005,0.9944232500985255,0.9910739078168844,0.9047305705889016,0.9449067263847437,0.031088103226514324,RF-instant,Silverstone,5
0.9445371111339744,0.9299697040316942,0.9591045182362548,0.9928827917836043,0.9756024929371094,0.8920698886816136,0.9367762395779682,0.06321468462972699,RF-lag,Silverstone,5
0.9614485827375345,0.949488979189755,0.9734081862853142,0.9933561562765777,0.9867710258745719,0.9229364725713106,0.9627670882061261,0.026028318836112053,LR-instant,Suzuka,5
0.9547976028770785,0.9403208876893088,0.9692743180648482,0.9837540972471692,0.9518852757654581,0.909678620065142,0.9529131593721127,0.038187326877915685,RF-instant,Suzuka,5
0.9501588735581429,0.9343548667943583,0.9659628803219275,0.9825192550812037,0.9528682563379808,0.9003356616987366,0.9492898192430528,0.04786315560687319,RF-lag,Suzuka,5
0.9111840427465075,0.848865554097131,0.973502531395884,0.9799889283812313,0.7653777988343994,0.827751858234054,0.9475482563097827,0.03947312326776755,LR-instant,Monaco,10
0.8106499275446982,0.6623678101624968,0.9589320449268997,0.9549615878636992,0.7319556300119975,0.6487775814805652,0.7601209706480754,0.05950978916860177,RF-instant,Monaco,10
0.552150583325617,0.17296113847837985,0.9313400281728541,0.9081052963421989,0.5568016175972295,0.23602922068413543,0.5462002744693162,0.0843892918567994,RF-lag,Monaco,10
0.8732329235814438,0.9032628676470589,0.8432029795158287,0.9316599436348008,0.9225387840470264,0.772004706908694,0.8642799083327319,0.09983448473723983,LR-instant,Monza,10
0.8939889635481717,0.9085114360704912,0.8794664910258522,0.9606236932944114,0.9637785846726957,0.7883300601813698,0.8926505628317771,0.07546538326652828,RF-instant,Monza,10
0.8510195276246622,0.8689143328364363,0.8331247224128882,0.9479605575864999,0.9604991374820009,0.7020557523859242,0.8512924338414294,0.09759836090961217,RF-lag,Monza,10
0.9348746213415141,0.921631456036496,0.9481177866465322,0.9701577436808961,0.9139878635303123,0.871460730485915,0.9411351633077591,0.052261296855131416,LR-instant,Silverstone,10
0.9331652265972846,0.9167001550031575,0.9496302981914118,0.9734879945574503,0.9436326051261127,0.866741867369899,0.9302050465383378,0.0523845850795647,RF-instant,Silverstone,10
0.8921502796791052,0.8611667577247617,0.9231338016334487,0.9601326988778652,0.8655653072631659,0.7906530565149527,0.8819161377361112,0.11045797572944553,RF-lag,Silverstone,10
0.9054284900228023,0.8789212072204914,0.9319357728251133,0.9684821826256289,0.9224222226242241,0.8148941865156232,0.9184326932669105,0.06610850755892195,LR-instant,Suzuka,10
0.8041890468794343,0.7224654073268898,0.8859126864319787,0.9482987883268457,0.8409698285235729,0.6284347617419626,0.7855266414854654,0.10430171989546703,RF-instant,Suzuka,10
0.8743519772919457,0.8267269419482882,0.921977012635603,0.9596818311738206,0.8743469960821044,0.7558361314995635,0.8598447636761535,0.09607907799026941,RF-lag,Suzuka,10
0.6682331964828807,0.4504111428091962,0.8860552501565653,0.8638595304836593,0.3369749135338943,0.3743676525477774,0.7408130756780571,0.10306062041113556,LR-instant,Monaco,25
0.4650026209490919,0.0,0.9300052418981838,0.6757293048337474,0.16676000500086702,-0.03974596035682792,0.49345571152776413,0.10944652230065731,RF-instant,Monaco,25
0.46828169532040087,0.0,0.9365633906408017,0.8378430159558921,0.4629043482078847,0.0,0.5,0.11579855726227231,RF-lag,Monaco,25
0.6771142336896585,0.7737513343446261,0.5804771330346911,0.655877246070295,0.6301154404643201,0.41016948177547263,0.6806659331677993,0.24986961316252992,LR-instant,Monza,25
0.7312303607304338,0.7533220910623946,0.7091386303984729,0.8296356923227118,0.8801061112463908,0.46402280708136284,0.73326350406837,0.18277605590239027,RF-instant,Monza,25
0.656189002184967,0.625770801633699,0.686607202736235,0.708399452986092,0.7942361061666384,0.3696025026971744,0.6779423002489922,0.22376986351704775,RF-lag,Monza,25
0.7689802987553158,0.7553446412629798,0.7826159562476517,0.8560376360431531,0.6868778240841616,0.5988153092645306,0.8066659824734224,0.18366556819162605,LR-instant,Silverstone,25
0.823304117125233,0.7923678850895058,0.8542403491609601,0.8959800446533859,0.8096270417815261,0.6573921251867246,0.838205979133677,0.1268756111131006,RF-instant,Silverstone,25
0.5799705385078563,0.3733356539900792,0.7866054230256334,0.8351347511408346,0.6904247388981178,0.2695342652679864,0.5951584788087938,0.18478678780487548,RF-lag,Silverstone,25
0.6230618564126212,0.46885838792873447,0.777265324896508,0.7681008990014769,0.5830494048852337,0.2572513704906849,0.618510262474944,0.18777619686850186,LR-instant,Suzuka,25
0.46862571617623267,0.20244989645853076,0.7348015358939346,0.6573605699729055,0.3901863061077395,-0.023837861714596602,0.4906984435623007,0.24448927071921597,RF-instant,Suzuka,25
0.41856437147218306,0.171494715038533,0.6656340279058331,0.5152003190789463,0.35860531447770017,-0.153697577750371,0.43071148611249227,0.2941953894445791,RF-lag,Suzuka,25
0.5175862975760793,0.1516218254966055,0.8835507696555532,0.5893050225061589,0.11921024576883923,0.03978208217098622,0.5230917418012402,0.1552002916634545,LR-instant,Monaco,50
0.4742675271620918,0.006595218466611707,0.9419398358575719,0.7652437160244615,0.19648554782658056,-0.022172990768309947,0.49625566274741756,0.11464323053033797,RF-instant,Monaco,50
0.47366823736123315,0.0,0.9473364747224663,0.5481263544265323,0.10108260793863225,0.0,0.5,0.12224628962230921,RF-lag,Monaco,50
0.4252885715941271,0.6221120701934307,0.22846507299482346,0.38856496572825133,0.5492743766342019,-0.11984290819724956,0.4480171170019186,0.3403818418624638,LR-instant,Monza,50
0.46076615226243123,0.48101732399557684,0.44051498052928556,0.46457611856197506,0.6323697556995134,-0.06276963498739131,0.46830309781251245,0.3167246770089791,RF-instant,Monza,50
